------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.5 Firmware v3.2.1 date format M/d/yyyy Filter Normal -----------
Serial Number: NEO1C16110306
Start Time 06:34:00
Start Date 5/15/2014
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:02:26
Download Date 5/22/2014
Current Memory Address: 0
Current Battery Voltage: 3.74     Mode = 13
--------------------------------------------------
Axis1,Axis2,Axis3,Steps
900,1267,1256,12
1760,2239,1364,19
15208,10216,7679,56
7054,4988,4178,70
1331,2129,1563,31
373,1067,789,9
1264,974,884,19
1266,999,1525,19
2565,2279,2597,26
3349,3386,4038,62
1853,2292,2273,31
2782,2375,3837,26
3363,2341,2801,69
3604,2687,3111,77
3257,3246,2391,82
2542,2418,2432,17
1263,1460,519,19
3618,3823,2996,38
3270,4409,3775,62
5680,4808,4675,57
3682,3908,3437,49
3746,1968,2876,30
4043,3931,3824,36
5010,4652,4508,63
2711,1888,3499,68
1919,1974,3167,23
869,1078,559,23
3157,2592,2699,54
300,65,594,4
141,0,112,3
458,214,495,5
424,138,304,4
1061,929,725,13
51,29,4,2
353,237,267,5
983,648,920,10
376,204,218,8
398,367,862,5
431,114,268,6
718,790,961,8
245,80,596,2
2171,2384,2379,44
9772,6200,5260,64
4884,3229,3061,95
2787,2255,2674,34
3658,3541,3523,39
2107,1979,2033,16
683,565,1668,8
573,461,619,3
204,325,1089,2
571,1990,2719,10
327,237,537,1
235,766,638,1
307,1245,822,6
728,745,657,1
432,630,649,2
801,452,778,2
1523,1301,1209,4
54,369,341,2
283,1578,620,5
66,577,112,2
6,209,93,0
339,694,723,4
382,941,822,6
843,1632,1936,8
249,1375,1039,4
1978,3356,4011,16
1377,1789,2924,8
2926,3730,3388,24
1891,1931,2250,9
1016,1483,1697,11
745,838,1958,9
165,937,1132,9
1756,999,1591,4
783,732,1885,5
377,944,1412,5
721,826,1846,5
1122,1569,1430,8
1199,1890,2533,12
2244,1841,2340,18
2633,1578,3591,25
1698,1634,1249,22
3763,3515,3943,32
981,734,2119,10
557,1053,1987,5
0,0,0,0
208,60,798,4
80,115,285,2
855,748,1238,6
189,162,463,3
0,0,55,0
41,42,351,1
75,60,197,1
0,104,102,0
373,451,549,4
903,916,1611,5
1177,1019,3045,12
572,469,2205,10
3132,2314,4761,26
2924,3105,3413,27
4319,3810,4559,40
2710,1770,1901,72
2476,3023,3255,18
3517,4380,5418,28
2568,2564,3336,65
929,756,873,20
77,51,96,1
846,163,291,3
926,48,97,6
772,1459,1136,7
503,1366,944,6
268,575,619,5
1900,1550,2335,17
1167,1680,1795,10
786,884,1049,5
1031,1005,1849,11
134,597,138,4
210,439,668,2
748,577,1065,7
268,57,304,3
472,158,507,5
1196,1114,1262,10
953,1156,2496,10
351,219,318,2
915,1385,1315,7
99,603,505,2
646,493,1113,8
1801,936,3016,19
1503,718,2448,9
1365,1288,2470,10
586,666,1587,7
600,984,2526,12
1291,658,1851,12
1911,1030,2892,14
850,922,1198,2
1664,1056,3142,11
552,283,922,5
705,473,1042,6
636,177,760,6
566,185,588,6
1053,1308,2223,11
1041,857,1338,5
2953,1944,2617,16
2673,2358,3605,20
759,1190,2982,12
1128,1177,4382,24
3011,2829,4540,32
936,1373,2785,23
550,873,2640,8
761,353,1902,6
2052,1785,2612,11
2657,2353,3217,24
7030,6642,7294,46
4008,3185,4820,34
2231,1706,2449,15
847,1020,1393,4
4773,3974,4200,49
1923,1370,1891,14
858,716,1683,8
2702,1836,3942,21
6276,4562,5395,46
4348,3203,3790,48
3895,3495,3682,28
6313,6289,4192,54
3568,4683,2873,40
289,625,390,10
1854,2485,2665,22
1522,1744,2000,18
4527,3990,5513,24
6212,5145,6413,37
3295,2065,2750,20
1224,2214,1261,12
534,1241,1287,5
536,274,1305,7
458,454,1101,2
347,418,1299,4
849,611,1314,9
1001,894,1459,7
609,350,1365,8
344,224,876,7
186,47,423,3
332,228,1116,3
273,366,1503,2
947,470,2706,11
88,104,597,2
1077,641,1519,8
315,375,664,3
1024,1217,2532,9
664,665,1622,4
1192,903,2252,9
609,273,1761,10
2087,1528,2524,22
1050,1561,2399,10
280,453,1379,3
552,713,1616,7
1218,1987,2497,14
978,739,1706,8
757,1093,2864,9
614,1095,1299,6
572,1053,1907,6
2068,2770,3029,19
1511,3329,2254,17
659,431,1767,8
1698,1570,3525,19
1089,1005,2459,12
710,858,2882,8
753,442,1237,8
2226,1904,3299,20
4598,3908,4063,34
6325,3973,4813,36
4697,4433,4720,28
3307,2196,3014,29
1270,533,1030,15
3168,1892,2728,19
2918,2009,2987,30
3165,2388,3034,20
2070,1571,1906,33
6564,5372,7321,33
2275,2648,2350,33
2098,1276,2180,65
1368,939,1031,53
1105,1526,1646,24
2345,974,1292,64
1326,1591,2083,28
480,694,1820,7
323,408,783,9
367,151,1171,3
1541,1738,2416,16
2179,2432,3038,11
761,1767,2742,11
1901,2231,3317,17
1070,1449,2012,15
1584,1566,3137,17
1236,2237,2266,15
2183,1664,2735,15
2045,2351,4126,31
1381,1396,1816,18
856,1354,1988,16
4581,3396,3871,63
4158,3212,3823,53
4467,3412,4045,41
5885,5826,6510,33
4896,4502,5744,50
5928,4089,5008,45
2069,2044,4187,19
3083,2848,3382,15
154,112,232,2
886,851,1037,3
212,482,563,2
4084,4516,4116,21
1020,1195,1800,11
1929,2041,1777,17
1078,2203,1463,13
439,622,508,3
344,522,569,5
829,2141,689,4
24,519,243,2
28,186,128,0
898,1234,1064,11
37,39,48,2
0,12,15,0
1522,1295,1383,5
2594,2675,2787,18
763,1021,566,4
230,197,38,2
218,292,58,5
169,318,119,2
456,865,368,10
3104,4574,2660,22
1333,2053,1348,15
851,1439,1747,7
581,575,785,6
337,569,392,3
127,328,205,1
119,178,59,5
334,389,173,6
157,199,57,3
318,394,204,7
588,47,253,9
42,0,6,1
267,58,147,3
