------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.5 Firmware v3.2.1 date format M/d/yyyy Filter Normal -----------
Serial Number: NEO1C16110306
Start Time 06:34:00
Start Date 5/15/2014
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:02:26
Download Date 5/22/2014
Current Memory Address: 0
Current Battery Voltage: 3.74     Mode = 13
--------------------------------------------------
Axis1,Axis2,Axis3,Steps
4,2,7,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,18,0,0
26,6,104,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
18,0,13,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
11,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,46,4,1
3798,3254,3750,17
3765,3420,4296,28
1071,1284,840,6
797,993,697,7
1073,1230,1135,11
1283,1570,1466,8
620,823,402,2
411,390,485,2
1620,1618,1583,13
27,0,5,0
991,1359,1001,7
1,0,0,0
1952,1808,1935,13
1184,1020,1062,12
156,100,85,2
111,365,426,2
1306,933,1995,10
568,519,514,2
73,173,130,0
340,354,894,4
192,283,67,2
3970,5594,4700,23
5061,4742,5426,37
15014,6970,13629,47
4376,5808,5800,27
2436,2094,1568,15
449,635,688,7
123,297,296,2
325,732,336,6
1373,1056,1558,9
380,424,672,5
2968,3673,2471,21
2437,2369,3164,20
1444,1428,616,17
1240,1111,553,9
1029,743,197,5
436,881,167,5
921,945,888,8
628,482,541,6
1036,873,778,11
2150,1461,1495,15
694,518,794,3
6683,6077,6043,34
4253,5238,5669,32
4743,4357,4947,40
4490,5323,5510,34
4958,4347,5174,31
4526,4471,4146,30
5419,5692,5682,38
3430,4653,4109,31
5170,5427,6977,32
1100,1430,1759,10
1413,1586,1639,10
1998,2073,2323,8
2082,2247,3263,18
4605,4032,6055,37
4065,3792,4498,27
3724,3043,3196,20
2523,2961,2737,29
1945,1945,2135,15
220,816,542,9
2328,2116,2973,18
2889,2833,3084,21
4236,3257,3751,30
3228,2917,3463,20
1029,1058,1503,6
4232,3931,5096,33
4420,4053,4923,34
4577,4728,4912,27
1690,2283,2687,17
823,1858,2594,16
930,2797,1539,12
333,85,633,7
593,498,1276,8
3592,3972,2718,25
3388,3549,3437,93
4333,4449,4886,49
4103,4835,4682,41
2351,1933,1879,16
3887,3995,5872,29
2036,3036,2740,14
1170,1100,1057,13
111,80,2,2
229,529,50,4
151,26,0,3
301,524,721,4
22,0,73,1
647,1200,643,12
388,2506,2497,9
83,125,23,2
125,128,32,2
0,5,0,0
1266,966,1328,8
1161,1256,1698,14
1223,1724,1153,9
2528,3045,3643,16
3129,3307,3357,20
2608,3117,3492,16
2445,4008,4096,20
2704,4929,4740,23
814,666,515,6
2098,3020,3685,15
3014,2212,2901,21
1630,1758,1219,15
2057,3337,2618,19
4743,4822,4577,97
3323,4716,6002,55
2820,2074,3743,18
1905,1742,2835,16
2639,3775,4101,18
1801,1616,2853,14
2480,1432,1657,20
1619,2092,2195,18
1064,1569,2123,11
2227,3232,3407,10
5480,3387,4715,25
3478,3856,4406,23
2089,2743,2055,17
833,1794,1760,15
749,913,804,9
913,1785,1903,12
84,707,1132,2
845,2268,1565,10
1666,2636,2281,21
1259,2213,1041,13
1874,2289,1913,15
1276,2128,1578,13
1208,2449,1271,16
1315,1996,2087,15
2096,3044,2247,23
1228,1726,2368,16
3708,3503,3942,22
7786,5548,7367,57
5585,4738,5827,47
696,1104,1364,9
923,1453,1090,8
1164,1847,2506,13
31,34,11,1
0,16,3,0
2611,3162,3578,20
4366,4294,3528,68
3360,2537,2072,74
2130,1908,2749,26
1508,1802,2308,7
1093,549,1253,13
610,738,852,8
1015,927,745,7
853,650,1561,9
592,823,1372,8
1119,1486,2129,11
2492,2946,3429,16
1209,783,976,11
1545,1305,2689,13
1334,1317,2032,7
1263,1591,1771,13
1777,2498,3208,25
3076,2947,3601,25
3883,4042,4772,30
5087,3364,5014,30
1870,3683,3746,27
3409,3701,4567,23
1957,2627,3296,19
2464,2705,5453,20
2589,2571,4084,30
4091,3884,3789,26
4949,4211,5043,27
3554,2823,3435,29
2571,2985,3867,18
2631,2754,2210,17
3254,2796,3826,17
4049,4082,4923,22
2653,1973,2488,11
1682,2294,3268,18
1279,2652,3664,17
1331,1054,2342,9
3153,2994,4318,27
5206,4599,6115,51
9127,7491,8361,39
4261,4045,5280,28
2716,2559,3004,27
1913,2335,3330,22
2062,2452,2735,15
1015,2256,2484,11
3063,3031,4474,24
4897,4494,7858,36
4664,4185,4888,44
4564,4464,4374,29
3500,4437,4373,26
2939,3280,3565,31
3237,2885,3200,37
3470,3313,3881,42
2075,2181,3175,18
1014,1926,2323,7
315,383,639,3
690,1336,1295,10
1034,1557,1759,9
1444,1379,1236,11
1844,1493,780,15
1124,1357,2028,15
1183,1290,1009,13
527,956,1346,6
1329,2288,2676,10
366,858,1538,9
1245,1870,1998,15
2525,2658,3507,21
1502,2398,2485,11
2091,2282,2725,14
2735,1905,2725,11
985,957,793,5
503,750,1119,1
1383,1815,2181,5
705,1194,980,5
1126,946,914,9
1891,2650,2872,16
604,1184,339,9
2237,1484,1969,14
1487,1811,1984,11
1864,1060,1953,12
920,1175,1278,8
1302,1168,1602,11
2257,1421,2527,13
1181,1235,1279,10
3242,2933,3032,20
2394,1478,1954,10
1445,1038,1190,17
650,616,1742,8
1750,3384,3117,17
1041,786,586,10
939,1763,2571,8
882,1981,1352,11
672,1549,1468,8
1235,737,1845,10
2295,2205,2158,22
2124,3547,2742,12
2000,2880,2508,16
2169,2682,2201,15
906,822,504,7
1082,1413,1371,7
2198,2077,2745,15
1751,1922,2196,10
1758,1775,2025,9
2652,2710,3114,9
2618,3137,4313,25
1097,1905,2125,11
1468,1657,1844,17
1737,1396,1646,8
932,844,650,5
1541,3267,2762,17
799,1507,893,6
587,2193,1028,6
3526,3724,4225,28
1776,2092,2549,13
419,1729,1134,7
269,1527,1209,3
609,853,737,5
2076,2846,3490,15
845,1787,1523,8
1258,2314,1978,8
912,1095,2333,7
1565,2595,1814,14
1043,3123,1149,17
372,1965,1092,7
1392,2222,2492,22
1427,1792,1999,12
1108,2615,2927,11
821,754,1870,7
1229,3243,2465,16
923,2444,2415,14
5758,4957,6403,41
6117,5847,4239,40
1984,1664,1260,64
3340,3693,2475,78
2603,2057,2313,36
1326,1454,1417,10
512,727,1319,6
1149,795,1592,11
429,1081,1554,8
2089,2320,2860,21
2454,2760,2722,24
1841,1484,1606,8
1601,1147,2184,12
946,674,1583,12
1020,580,1472,8
355,557,898,5
1878,2953,2657,12
1488,1334,2169,14
1924,2422,2576,22
1113,1237,1265,10
987,1386,1192,9
763,343,1030,5
129,101,342,2
1293,2223,2044,14
1604,1592,2317,14
4715,4806,4021,36
3392,3028,3498,70
3187,2361,1929,105
13633,10280,9928,91
11221,5855,8917,82
9041,6099,9049,79
10205,6444,9508,75
10521,6592,8397,68
2957,2992,2559,89
4699,3256,3165,89
3235,2636,2311,103
4112,3203,3313,92
4592,4408,4971,87
5916,3678,4401,65
6822,5574,5259,65
4512,3591,4219,62
5173,3608,3585,95
3725,3693,4043,71
5684,4421,5165,75
3967,2130,2535,108
6568,4133,3965,93
7034,4560,6062,64
6431,4468,5948,63
4436,3847,3999,27
4385,3924,3578,30
2367,3010,2682,19
2142,2231,2699,18
6609,6144,5764,50
3800,3857,4407,29
4088,4605,4564,29
296,889,308,4
1835,2149,2073,16
1422,2573,2287,13
3349,3945,6642,25
1084,589,1378,18
1886,2296,2509,17
2240,2746,3740,26
1105,3217,3500,16
1501,2505,1569,15
2754,3124,3195,31
4468,4548,4522,22
1440,2052,2674,15
779,1777,915,5
530,693,908,4
1350,1740,1963,18
1233,826,1606,4
1513,2030,1816,8
1889,1993,2877,17
2211,4159,5056,23
3527,2762,2535,15
2356,2125,2868,20
2545,2759,4115,15
125,96,370,2
59,7,47,4
295,123,320,2
466,408,791,6
709,212,265,2
1135,1315,1370,9
749,672,1062,7
903,547,1438,8
1537,982,2031,13
1109,361,1180,8
2291,2530,3103,13
2435,2481,2787,18
624,1496,1146,7
830,509,1878,13
430,160,620,6
103,104,413,1
491,384,252,1
87,329,304,1
1173,1456,1638,17
2090,1926,2660,13
662,511,1186,5
1662,1849,2855,13
2741,2116,3227,13
250,708,377,3
1159,1446,1909,6
759,1237,1277,7
2211,1466,1733,13
1082,511,588,6
1342,1483,1219,11
129,777,592,6
33,507,126,1
951,1052,1090,6
467,622,787,3
1455,1338,1098,8
5379,6237,6399,41
6600,5013,6122,43
4558,4513,4733,35
1740,1955,1162,9
2643,2141,3551,19
887,1147,2488,11
2428,3265,3483,13
1317,1131,1431,9
799,2030,1731,13
3421,4757,5668,29
204,396,329,5
292,647,474,12
1997,2292,3144,30
3777,5705,8253,55
2701,4059,5263,42
2058,3942,3668,19
1595,1472,2288,16
984,1748,1053,9
725,1619,1215,4
381,989,776,2
2166,2804,2949,18
2189,3961,3618,19
2155,2429,2413,13
4467,4375,4820,16
1244,1869,4112,22
3349,3510,4431,25
3028,4394,5117,23
2330,2513,3121,14
1093,1548,1647,7
1033,1387,2559,17
9969,8878,8557,44
6212,5953,7316,48
2998,2695,4137,32
2634,2032,4095,20
3424,3340,4023,16
2641,2792,3341,22
969,3095,2330,9
1389,2945,3690,14
987,2240,2614,14
1927,3053,3356,13
611,893,717,13
712,1235,2041,16
1087,1028,2100,8
993,636,1723,7
3425,3146,4059,33
3650,4321,4057,27
3762,2905,3758,24
7013,6024,7057,43
4264,4952,4354,65
1647,1844,1582,16
4056,4767,4761,35
5880,4477,5279,27
3326,2328,3692,26
4027,3540,3543,32
4036,2719,3258,31
3967,2464,2323,27
9322,5669,5983,45
4329,3528,3244,26
4917,3987,3726,35
4942,3498,4426,25
6220,6018,4765,36
4142,3884,3385,24
8288,6652,6225,37
5448,4910,3888,48
182,412,295,7
5297,4403,5296,43
3580,4557,4653,23
3696,4957,4999,37
1264,1156,1874,9
1568,1853,2134,15
956,2323,1855,17
1956,3263,2769,19
1066,1154,1365,9
1944,1329,2102,15
1445,2128,1710,17
1304,1581,1034,11
2195,3083,2521,16
1250,899,2329,9
2018,2973,1399,19
245,539,691,2
1171,1815,2185,13
1488,2350,1792,11
2317,2377,1797,11
245,1919,455,3
1330,2937,1025,14
2711,3398,2338,17
2206,3462,1809,18
2265,3285,2022,21
2565,3198,3120,27
1814,2043,2743,22
4785,5464,6110,24
2779,5038,3248,30
3444,4015,3713,30
765,2787,934,17
3483,4290,2135,25
2268,3518,3962,18
315,726,1284,4
417,1492,1333,7
1192,2868,2127,18
509,252,363,7
19,76,0,1
1032,1461,1020,9
3443,4252,4180,34
2640,3148,2466,17
509,1123,528,11
4278,4884,5066,27
5388,5441,6183,38
4049,4317,3577,21
1095,1425,846,15
110,15,181,3
840,906,877,10
737,758,782,10
2303,2349,2325,31
5649,6405,6805,33
2775,3586,2680,26
2049,3615,2289,25
3322,4494,4209,32
3519,4461,3649,38
3931,4544,4482,45
5009,5082,3648,40
2861,2866,3615,19
1575,1722,1874,15
2535,2750,3245,20
1601,1818,2163,21
898,1594,2178,15
2399,2865,3649,23
2248,1946,2139,18
3134,3182,3139,24
3479,2394,4602,21
2442,2378,3133,21
1300,1122,1023,18
1949,1941,1831,20
1918,1824,2442,22
3986,3476,4468,41
3411,3019,3797,55
10321,10281,7773,76
5477,5521,4565,53
2135,2191,1702,14
3263,3352,4079,24
3434,2739,4218,34
3408,3564,3912,25
4958,3886,6055,29
3914,2774,4074,33
4231,3741,5943,32
2285,1964,4831,22
242,370,1783,8
352,322,1221,10
128,115,1367,2
468,913,1044,5
3041,2402,4667,21
1716,2015,1118,11
0,125,99,0
827,1525,917,3
2957,3522,3647,24
4136,3738,4716,25
1298,1271,2020,10
755,508,738,4
378,233,307,2
1049,1054,1198,7
958,1786,2539,12
6282,7358,7873,41
3159,3019,2907,60
1273,1555,1639,41
1426,1531,1571,32
2558,3246,3457,40
1501,2000,1917,22
1327,1602,1688,11
3180,3210,4557,43
754,682,893,2
87,124,80,3
281,273,586,6
3516,3344,3438,23
2641,2320,3785,33
1330,1263,3009,17
2064,1954,4594,16
3876,4819,4625,72
1391,1603,1744,28
819,1424,1565,16
86,98,379,3
1478,1710,2379,13
991,1366,1740,7
4943,4384,4378,31
2242,1656,2449,18
84,186,1584,1
1373,1558,1822,8
150,589,77,1
2905,2621,2401,12
2865,3460,3194,21
1998,2300,2403,50
2437,2886,2419,51
1940,2297,2438,24
1244,1967,2056,23
736,1166,936,16
535,837,946,6
516,1084,815,5
2551,3543,4713,28
1812,3239,2386,25
3797,2742,3319,18
3527,3039,2723,26
1272,1475,1526,24
1577,2590,2440,18
488,1458,1186,8
3771,4944,3999,20
275,547,259,4
702,941,801,8
351,926,159,8
861,1314,1762,17
358,962,900,11
4993,5416,5445,34
3831,3356,3516,30
4432,5668,4895,35
4650,5172,4700,31
1693,1679,1035,15
4242,3527,3327,25
4522,3317,5361,29
2154,3132,3466,14
354,1352,325,8
1772,2229,1966,14
2061,2011,1431,18
1069,1792,597,12
1010,1789,1253,13
472,214,1072,8
541,395,1411,5
1600,1474,2121,16
113,771,69,3
1115,1534,1391,9
1351,1396,2499,17
1293,1780,3123,12
1547,1958,2082,14
3263,2516,3621,22
683,1452,1705,11
219,209,1265,6
522,628,1323,10
1082,2687,1003,6
3877,3776,3401,26
1692,2928,2540,18
1070,1649,1531,9
908,896,884,11
1476,2184,2024,16
670,1049,944,5
397,1480,1078,8
776,1430,2077,9
1166,1960,1572,11
3334,3534,4367,17
3031,4171,4013,20
3711,4362,5087,29
546,785,1537,8
1786,2023,2921,14
1315,1018,2324,11
1866,2339,3283,21
2566,3874,3973,25
2443,2453,4736,22
1757,1375,2956,14
1463,1336,2526,16
3281,3190,5208,34
4029,2757,3955,33
2867,3351,3631,17
1003,777,2255,10
4197,4046,4650,28
3553,3399,3876,27
4349,3230,3653,25
3764,2996,3414,28
2889,4555,4499,29
3493,3970,3510,19
4390,3624,4277,25
821,1387,667,12
2833,3220,2574,18
3430,3048,3536,22
2595,2666,3426,22
2068,2638,2919,17
2645,3964,2672,17
1980,3270,4330,23
241,438,1891,6
2175,2150,2540,14
3691,4485,4254,31
3059,3230,3388,20
764,1844,1508,15
470,1237,1662,9
663,1868,1316,10
4274,3833,3757,21
2481,4488,3520,29
3558,3108,4567,20
1240,2119,1664,12
1178,3060,2380,14
917,1441,1050,9
2104,2580,2302,13
3826,3913,5598,23
0,8,0,0
1391,1705,2943,10
1844,872,1503,13
5335,5562,7470,35
4863,5869,5520,32
1833,2620,3129,15
3979,5351,4902,50
3547,3981,4348,22
5191,4921,5335,32
3693,5689,5452,21
2764,2005,2872,18
4173,3232,3999,33
3732,3866,4736,27
3076,3643,2516,28
3885,4016,5287,25
5154,3825,5142,34
6929,5076,5730,38
6746,5664,6080,29
2937,3236,3553,13
2484,2402,2684,15
4054,3391,3533,29
6432,5728,5468,36
5150,4641,4280,33
6589,5205,6196,35
5295,4889,5599,41
903,619,1211,5
230,586,822,4
301,798,1019,4
323,127,455,4
822,874,460,5
17,121,69,0
792,420,624,5
606,289,499,3
3467,3334,2449,17
2416,2540,2530,17
2098,2182,2551,11
835,1558,1068,10
920,1664,1306,9
1830,2925,2214,20
2434,2420,2305,18
1761,2636,2559,16
1372,1624,1211,13
566,715,489,3
1348,2356,2050,8
657,1537,1625,5
2620,3510,2493,24
5405,1926,5015,38
1902,3359,2728,23
2911,3419,3082,17
2311,2409,3482,24
1047,2362,1319,12
543,2066,1772,12
5015,3929,4058,28
3920,3544,4800,23
0,1,43,0
307,137,394,1
582,682,965,5
294,89,106,1
256,599,310,1
306,403,85,1
1598,1771,2253,4
1397,1524,1637,9
552,252,98,1
573,1385,1292,5
249,828,569,4
917,1541,1459,5
1292,1756,1826,8
793,1586,1234,6
399,303,186,3
350,668,620,5
876,797,1749,5
1702,1819,1800,8
587,308,691,4
1050,529,1078,4
4,112,50,0
0,9,0,0
395,106,266,1
348,446,194,3
353,414,684,5
3516,3662,3923,25
6614,5566,6152,34
4398,4023,3919,24
4716,3754,4436,26
891,1394,2713,10
1678,1289,854,9
371,48,448,5
316,103,255,6
817,990,821,10
1573,1526,2097,13
2641,3449,4523,24
2292,2572,1920,15
2719,4830,4330,22
2867,5304,3936,25
3416,3873,4266,24
2994,3982,2812,24
2680,5201,4483,31
2279,4313,2618,24
4440,4475,3329,35
4602,4115,3407,30
5294,5170,6178,29
78,196,18,1
396,265,479,4
320,599,218,1
259,425,225,6
54,77,30,0
23,119,58,1
120,533,347,2
0,87,36,0
87,174,341,1
24,24,69,0
5663,5986,5372,41
7692,8398,8380,55
8337,10782,11987,51
3895,3583,4290,27
4339,4408,4535,29
4135,5299,5042,37
3293,3665,4279,30
2257,2598,2250,34
4740,3862,5280,51
5215,5667,6169,40
1416,1328,2663,19
5498,5392,5884,28
3361,3427,2547,20
1793,2122,1802,14
3022,3168,2696,24
3738,4278,4498,38
4253,4883,4629,30
4418,4544,6257,42
5001,5835,7019,43
4826,7866,7305,32
2235,3185,1996,18
4258,3804,3415,22
726,2474,879,8
1631,2963,3934,14
242,554,151,3
3776,3724,4772,41
6092,5427,5991,41
509,741,1055,3
123,129,25,1
132,336,92,2
31,186,73,1
650,1381,759,5
88,75,70,2
44,7,69,0
297,583,205,3
623,1079,596,5
50,481,120,2
0,58,0,0
261,466,630,4
461,932,620,4
960,1124,1183,5
1490,2027,1218,10
24,68,26,1
0,1,0,0
161,411,735,3
0,19,93,0
58,16,21,0
558,404,597,7
579,934,910,4
675,762,1249,11
467,1229,534,5
67,303,109,1
5710,4920,5593,34
5043,4360,6225,35
1987,2815,3218,15
2608,3378,3401,18
1208,1103,1854,8
2776,3631,3354,19
4502,4641,5015,21
3841,3639,3671,28
6977,7381,7405,38
7360,7289,7363,47
3165,3103,2663,18
2988,2447,2894,19
4032,4798,4864,36
4268,3660,5810,40
5905,5100,5984,29
4597,3829,5047,30
2324,2296,2330,14
174,377,149,1
342,946,679,3
0,0,0,0
46,212,297,1
114,605,178,3
590,775,331,4
671,2113,1765,8
435,480,369,4
238,507,134,4
280,1569,2093,5
0,0,0,0
519,874,882,3
23,10,14,1
346,107,441,3
497,488,1033,5
436,1171,665,3
601,816,511,2
400,852,487,5
1137,1621,639,5
1113,1077,1106,8
616,280,268,5
793,861,1364,5
556,1670,1258,7
241,586,963,3
2851,1469,1896,19
0,0,0,0
1219,1696,1020,5
0,0,0,0
0,0,0,0
432,409,344,2
345,456,573,4
2318,3157,3242,20
1425,1535,1666,12
1966,1234,2975,18
1413,2077,1673,14
1870,1890,2369,16
42,159,75,1
0,162,218,0
58,312,239,2
66,246,253,2
0,15,43,0
11,249,101,1
107,225,336,3
197,210,305,2
1,6,50,0
276,615,216,3
715,1290,719,7
34,220,320,2
0,0,5,0
46,104,91,1
41,52,73,0
0,28,0,0
40,152,315,1
0,58,52,0
12,27,367,1
104,279,834,3
9,0,50,1
1195,1199,1635,12
897,2191,1990,19
0,29,0,0
0,0,6,0
23,1,77,1
0,0,0,0
0,60,62,0
146,468,180,3
0,0,53,0
0,0,45,0
230,443,388,2
46,212,144,2
77,324,214,1
0,0,0,0
220,574,798,4
0,0,0,0
6,157,64,0
0,0,0,0
64,295,218,1
0,0,0,0
468,942,1713,8
5023,4808,4721,29
3107,3063,3081,25
929,1501,1632,17
80,73,63,2
59,25,20,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
80,326,51,1
0,0,0,0
14,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,9,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
428,844,539,7
74,165,42,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
88,169,50,1
897,793,483,6
25,20,0,0
0,0,0,0
215,134,47,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13,0,0,1
45,25,0,0
454,209,262,5
0,0,0,0
0,0,0,0
608,857,822,7
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
824,565,429,2
782,277,503,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
510,481,445,3
0,0,0,0
0,0,0,0
51,27,8,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
63,75,144,0
0,8,0,0
390,448,371,2
0,44,33,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
738,441,372,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
